Category	Description
Happiness	Play is all about joy.... If you observe children at play (we’re talking more about finger painting with mud than about championship soccer here), you will see the type of play we are talking about. Play is any activity that brings you joy when you do it. It can certainly include organized activity or competition or productive endeavours, but when those things are done “for the joy of it” they are play. When an activity is done to win, to advance, to achieve—even if it’s “fun” to do so—it’s not play. It may be a wonderful thing, but it’s still not play. The question here is what brings you joy purely in the doing.
Self Improvment	Shut up and listen.... Really really listen - it allows us to respond properly and you'll genuinely enjoy it - we learn...
Misc	Don’t make a doable problem into an anchor problem by wedding yourself irretrievably to a solution that just isn’t working. Reframe the solution to some other possibilities, prototype those ideas (take some test hikes), and get yourself unstuck. Anchor problems keep us stuck because we can only see one solution—the one we already have that doesn’t work. Anchor problems are not only about our current, failed approach. They are really about the fear that, no matter what else we try, that won’t work either, and then we’ll have to admit that we’re permanently stuck—meaning we’re screwed—and we’d rather be stuck than screwed.
Self Improvment	Before criticizing or feeling the need to make a comment leave it till the next day and sleep on it... If it's genuinely important you'll bring it up than.
Happiness	My thoughts are only thoughts – they’re not actually me or who I am. I can step back and ignore them, I don’t have to let “ego” get in the way of my happiness.
Happiness	Complete this sentence – I’m 70 years old and I wish I’d spent more time on..… and I wish I’d spent less time on……
Happiness	Looking always into the future of when things will be happier/better is counter intuitive; how often do we look at the exact moment we are in and feel truly unhappy? Enjoying every “now” moment is enjoying life.
Happiness	Always searching for the “perfect” in life, hijacks our current happiness. Instead of searching for perfection compare the situation against the worst case, it usually gives you a healthier sense of perspective.
Self Improvment	Remember that it’s my judgment about the infuriating colleague, or the heavy traffic, or the burned food, that is the cause of my distress, not the situation itself.
Self Improvment	Sometimes, the most valuable of all talents is to be able not to seek resolution; to notice the craving for completeness or certainty or comfort, and not to feel compelled to follow where it leads.
Self Improvment	Next time I'm in a meeting - speak up! Concentrate, speak slow and clearly - read the room and ensure everyone's face is showing that I'm clear for everyone.
Leadership	Remember to bring the positivity everywhere you can. e.g. Look at Paul Kilmister and the way he speaks to everyone in the team pushing the moral on the shop floor/shitty job. Positivity is important.
Business	A quick no is better than a slow yes
Business	When meeting a team/person for the first time, the best question to ask is “What’s your biggest problem today?”
Leadership	Explain to people the context of why we do/ask for things – it brings them on-board. For example: In the RC inflow reviews, don’t just ask people to check with procurement first – explain that, the pre-cost is the critical path to their hypothesis. By validating that, we know 99% of the rest should be OK – always validate the “kill” factor in the hypothesis first. Explain to people that the ROI isn’t just a number – that it links to an NPV and how this impacts the business. That an ROI of 50 isn’t what’s important, it’s actually the payback period.
Coaching	“Can I give you some feedback? / May I share something with you?” - Always ask, positive or negative  1) “When you…” - Talk about their behavior 2)“Here’s what happens…” - Describe the impact 3)“How can you do this differently?” or “Thanks – keep this up.”  Feedback is always about future behavior. It’s NOT about the past, because there’s nothing we can do about the past. We want to get different behavior in the future if it’s adjusting. We want more of the same if it’s affirming. Do not use adjusting feedback as punishment – your team members know when they’ve made a mistake, and nobody likes punishment. If you use this model regularly, making it a habit, your people will start ASKING for more.  If people push back or roll their eyes, you can simply say I see this isn't a good time than - perhaps some other time. If they insist you can politely push back to say honestly its cool, it’s about trying to give some feedback and if you’re not in the right frame of mind than let’s do it another time, we've all been there before. No matter what, we don't argue with people - simply agree and walk away to defuse the situation.
Lean	With standardised work real problems surface quickly, because deviations become visible. For example, if deliveries had to leave a warehouse within two hours and were color coded by the time of the day, then identifying and fixing problems would be easy. But in order to do that, the work flow would have to be stable and standard; otherwise, the manager would be firefighting  to handle temporary surges with no permanent solution to the real problem, which is the demand surge (other than adding flexible capacity). Similarly, when a substantial degree of work is standardized, it is possible to use reliable and tested technology that serves your people and processes. Changes are easily evaluated. They can be studied in a controlled environment to see if the impact is substantial and then adopted into practice after being vetted by a team (data driven experimentation)
Lean	Examples in the warehouse of the 7 wastes include the following:  ● Transportation (driving an empty forklift) ● Defects (time spent correcting errors such as misspicks) ● Inventories (congestion at the inbound and outbound areas) ● Motion (interrupting movement such as staging product before put-away) ● Waiting time (bottlenecks at pick locations) ● Overproduction (holding too much inventory) ● Overprocessing (performing unnecessary steps such as labelling and checking)
Quote	People like the results but not necessarily the curiosity to get there
